account_id,customer_id,account_type,currency,opened_date,closed_date,account_status,current_balance,overdraft_limit
2000000,112077,Current,EUR,2022-07-07,,Active,8735.69,0
2000001,123282,Current,EUR,2024-03-15,,Active,625.62,2500
2000002,105754,Current,EUR,2023-03-30,,Active,2613.73,2500
2000003,119904,Business,EUR,2024-01-12,,Active,3594.22,2500
2000004,112537,Savings,EUR,2024-07-19,,Closed,1378.22,0
2000005,104098,Savings,EUR,2023-04-29,,Dormant,1167.34,0
2000006,108566,Business,EUR,2023-02-01,,Active,19908.49,500
2000007,110545,Current,EUR,2022-02-16,,Active,3113.61,2500
2000008,112193,Joint,EUR,2023-03-01,,Active,2290.38,0
2000009,104495,Current,EUR,2023-01-13,,Active,1453.84,500
2000010,118738,Current,EUR,2022-02-03,,Active,499.13,2500
2000011,124482,Current,EUR,2023-02-13,,Active,1043.41,0
2000012,105754,Current,EUR,2023-02-24,,Active,6786.46,500
2000013,112059,Business,EUR,2022-09-05,,Dormant,992.87,1000
2000014,123088,Current,EUR,2023-08-15,,Active,1374.44,500
2000015,115481,Savings,EUR,2023-04-13,,Active,1787.0,0
2000016,104525,Current,EUR,2022-11-12,,Active,626.38,1000
2000017,110816,Current,EUR,2022-04-09,,Active,132.29,0
2000018,104896,Joint,SEK,2023-09-15,,Active,2212.12,0
2000019,107586,Current,EUR,2023-10-03,,Active,543.83,0
2000020,124329,Savings,EUR,2022-08-05,,Active,258.42,0
2000021,127582,Current,EUR,2022-10-17,,Active,2115.82,0
2000022,127816,Current,EUR,2023-03-19,,Active,7186.55,0
2000023,108668,Current,EUR,2023-05-12,,Active,702.67,0
2000024,100839,Business,PLN,2023-12-27,2024-12-14,Closed,1047.41,250
2000025,105141,Business,EUR,2024-06-11,,Active,655.84,500
2000026,116105,Savings,EUR,2024-03-22,,Dormant,870.59,0
2000027,119712,Current,EUR,2022-06-03,,Active,1990.45,1000
2000028,114119,Current,EUR,2023-11-23,,Active,515.33,0
2000029,128422,Current,EUR,2024-01-11,,Active,2086.52,500
2000030,129189,Current,EUR,2022-05-31,,Active,3041.47,1000
2000031,119996,Savings,EUR,2024-04-29,,Active,806.21,0
2000032,118485,Current,EUR,2022-09-06,,Active,1411.34,250
2000033,103138,Current,EUR,2022-08-03,,Active,694.93,2500
2000034,122140,Current,EUR,2024-07-31,,Active,1367.07,2500
2000035,102540,Savings,EUR,2022-11-23,,Active,823.57,0
2000036,114626,Current,EUR,2023-06-12,,Dormant,246.3,1000
2000037,102298,Current,EUR,2024-07-18,,Active,1902.76,250
2000038,109475,Current,EUR,2024-04-18,,Active,1934.4,1000
2000039,115406,Current,EUR,2023-12-07,,Active,1585.8,500
2000040,100455,Current,EUR,2022-12-02,,Active,6277.47,1000
2000041,119620,Current,EUR,2024-04-23,,Dormant,381.94,1000
2000042,129965,Current,EUR,2024-07-02,,Active,751.11,1000
2000043,109360,Current,EUR,2022-07-03,,Active,148.78,250
2000044,118889,Savings,EUR,2022-10-04,,Active,1524.92,0
2000045,110028,Current,EUR,2024-02-20,,Active,1406.55,250
2000046,126382,Savings,EUR,2022-03-14,,Active,1092.28,0
