card_id,customer_id,account_id,card_type,card_status,issued_date,expiry_date,contactless_enabled
3000000,128012,2022679,Credit,Active,2024-06-11,2028-04-04,True
3000001,105829,2025767,Debit,Active,2022-12-20,2026-11-25,True
3000002,103406,2024616,Debit,Active,2023-10-01,2028-04-12,True
3000003,121647,2002213,Debit,Active,2024-09-16,2028-04-27,True
3000004,115277,2028667,Debit,Active,2023-06-05,2027-12-29,False
3000005,128161,2041969,Debit,Active,2023-02-25,2027-07-29,True
3000006,120659,2018937,Credit,Active,2023-12-08,2028-02-02,True
3000007,119209,2011644,Debit,Active,2024-06-27,2028-07-07,True
3000008,104586,2012723,Debit,Active,2022-11-16,2027-10-06,True
3000009,125601,2014810,Debit,Active,2023-03-18,2027-04-13,True
3000010,127027,2008576,Debit,Active,2022-03-27,2025-04-28,True
3000011,116865,2029554,Debit,Active,2022-05-30,2025-07-24,True
3000012,123200,2007186,Debit,Expired,2023-01-16,2026-05-16,True
3000013,101478,2018501,Virtual,Active,2022-08-02,2027-08-16,True
3000014,105908,2034962,Debit,Active,2024-10-20,2027-05-03,True
3000015,124423,2014962,Debit,Active,2022-07-01,2025-05-04,True
3000016,110799,2038122,Credit,Active,2024-09-12,2029-04-01,True
3000017,112441,2039371,Debit,Active,2024-06-27,2029-07-22,True
3000018,119578,2022332,Debit,Active,2023-03-26,2026-10-26,True
3000019,101454,2040670,Debit,Blocked,2024-02-12,2028-07-04,True
3000020,105827,2018600,Virtual,Active,2023-07-14,2028-01-13,False
3000021,113153,2000994,Debit,Active,2022-08-04,2026-07-16,True
3000022,101481,2016609,Credit,Active,2024-11-15,2027-05-25,True
3000023,113046,2007686,Credit,Active,2024-11-07,2030-01-06,True
3000024,101337,2011000,Debit,Active,2022-11-07,2026-02-16,True
3000025,117004,2024596,Debit,Active,2024-02-17,2027-10-21,True
3000026,103219,2038402,Virtual,Active,2023-07-25,2028-06-12,True
3000027,107252,2027241,Debit,Active,2022-06-21,2025-10-30,True
3000028,129448,2009946,Debit,Active,2022-09-14,2026-09-07,True
3000029,121092,2013006,Debit,Active,2024-10-23,2029-10-26,True
3000030,124222,2011288,Debit,Active,2024-07-16,2028-08-28,True
3000031,116422,2027996,Debit,Cancelled,2022-10-08,2026-02-06,True
3000032,900279,2028539,Debit,Active,2023-12-24,2028-10-13,True
3000033,111962,2018474,Virtual,Active,2023-01-01,2027-08-01,True
3000034,105262,2022602,Debit,Active,2023-05-22,2028-01-01,False
3000035,108123,2035648,Debit,Active,2023-01-16,2026-09-20,True
3000036,110014,2016587,Credit,Active,2022-07-01,2025-07-11,True
3000037,100198,2031171,Credit,Active,2022-12-30,2027-05-21,True
3000038,100247,2013658,Virtual,Active,2022-10-27,2025-09-15,True
3000039,113585,2009725,Debit,Cancelled,2024-03-11,2028-04-18,True
3000040,106440,2033081,Debit,Active,2023-11-29,2028-07-01,True
3000041,120626,2003344,Debit,Active,2023-12-31,2026-12-22,True
3000042,123944,2029363,Debit,Active,2022-12-08,2026-05-11,False
3000043,101588,2012727,Virtual,Active,2023-07-17,2026-04-23,True
3000044,115698,2008086,Debit,Active,2022-02-26,2024-08-30,False
3000045,113846,2022812,Credit,Active,2023-08-11,2028-03-29,True
3000046,105773,2018322,Debit,Active,2022-08-30,2027-02-21,True
3000047,126908,2033263,Debit,Active,2023-10-31,2026-12-12,True
3000048,122696,2038908,Virtual,Active,2022-01-19,2027-02-18,True
