flag_id,transaction_id,customer_id,flag_reason,risk_score,investigation_status
9000000,4082259,118264,Unusual amount,83.8,Open
9000001,4091054,126988,High-risk merchant,79.0,Cleared
9000002,4034603,127594,Unusual amount,66.9,Confirmed Fraud
9000003,4112651,104253,Late-night transaction,83.2,Escalated
9000004,4121370,113546,High-risk merchant,76.8,Escalated
9000005,4040507,115708,Failed/reversed activity,87.2,Open
9000006,4143147,111611,High-risk merchant,64.4,Cleared
9000007,4161036,115725,High-risk merchant,74.2,Confirmed Fraud
9000008,4233014,123396,High-risk merchant,68.3,Cleared
9000009,4028075,122172,Unusual amount,68.1,Cleared
9000010,4124483,112629,Unusual amount,68.9,Confirmed Fraud
9000011,4106985,103232,Failed/reversed activity,63.2,Open
9000012,4151338,122769,High-risk merchant,94.6,Cleared
9000013,4100177,120176,Failed/reversed activity,79.1,Confirmed Fraud
9000014,4066135,104162,High-risk merchant,97.8,Cleared
9000015,4184369,122498,Unusual amount,97.1,Cleared
9000016,4141282,128170,High-risk merchant,78.4,Open
9000017,4151235,112640,Failed/reversed activity,73.6,Cleared
9000018,4035620,112389,Late-night transaction,67.1,Open
9000019,4117124,105512,High-risk merchant,66.6,Open
9000020,4008587,113788,High-risk merchant,70.6,Confirmed Fraud
9000021,4130472,111468,Failed/reversed activity,71.9,Cleared
9000022,4024654,122687,Late-night transaction,92.0,Cleared
9000023,4156313,116224,Failed/reversed activity,69.6,Escalated
9000024,4210536,104811,High-risk merchant,62.2,Open
9000025,4191514,124668,High-risk merchant,68.6,Open
9000026,4034765,110472,Unusual amount,65.9,Confirmed Fraud
9000027,4162740,109488,Failed/reversed activity,57.5,Cleared
9000028,4050075,104075,Unusual amount,93.3,Cleared
9000029,4207905,110848,Late-night transaction,69.8,Confirmed Fraud
9000030,4053350,108899,Failed/reversed activity,83.6,Confirmed Fraud
9000031,4210098,124958,Unusual amount,70.7,Cleared
9000032,4213402,101551,Failed/reversed activity,58.0,Confirmed Fraud
9000033,4117820,115045,High-risk merchant,85.1,Cleared
9000034,4117978,114729,High-risk merchant,80.0,Open
9000035,4176742,121036,Late-night transaction,58.2,Confirmed Fraud
9000036,4103268,121808,Late-night transaction,61.3,Open
9000037,4052573,125701,Late-night transaction,57.8,Cleared
9000038,4126282,106304,Late-night transaction,88.9,Escalated
9000039,4064970,118639,Unusual amount,72.2,Open
9000040,4082796,107406,High-risk merchant,69.3,Cleared
9000041,4042565,122932,Late-night transaction,59.7,Cleared
9000042,4157948,115500,High-risk merchant,59.1,Cleared
9000043,4159993,100101,Failed/reversed activity,66.7,Confirmed Fraud
9000044,4044936,109321,Unusual amount,96.9,Cleared
9000045,4144237,108567,Failed/reversed activity,62.2,Cleared
9000046,4122554,117812,High-risk merchant,75.4,Cleared
9000047,4151327,111341,Failed/reversed activity,98.2,Open
9000048,4117644,106190,Failed/reversed activity,55.6,Open
9000049,4185043,129257,High-risk merchant,63.2,Open
