loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status,start_date,default_flag
6000000,900335,Personal Loan,3083.31,7.2,Closed,2024-05-17,False
6000001,102945,Consumer Credit,2900.08,12.93,Closed,2022-08-04,False
6000002,900319,SMB Loan,39465.68,16.01,Active,2023-04-12,False
6000003,129271,Personal Loan,3754.22,5.87,Active,2023-11-05,False
6000004,125641,Overdraft Credit,12143.3,12.6,Active,2024-09-21,False
6000005,115279,Personal Loan,20327.1,9.83,Closed,2023-03-12,False
6000006,120894,Personal Loan,27967.5,7.64,Active,2023-04-08,False
6000007,107742,Personal Loan,9692.06,8.61,Closed,2022-12-26,False
6000008,124111,Consumer Credit,7472.59,13.86,Active,2023-04-09,False
6000009,128646,Consumer Credit,3782.76,5.79,Active,2023-06-03,False
6000010,118590,Personal Loan,40307.51,4.77,Closed,2023-09-02,False
6000011,103429,SMB Loan,2509.94,4.86,Active,2023-12-07,False
6000012,120660,Personal Loan,14586.61,12.5,Active,2022-10-12,False
6000013,108884,Personal Loan,12183.79,11.77,Active,2024-02-14,False
6000014,129361,Consumer Credit,11032.73,14.85,Active,2022-06-28,False
6000015,107918,Personal Loan,4784.5,9.66,Active,2023-04-18,False
6000016,117515,Personal Loan,11560.96,8.61,Active,2022-08-24,False
6000017,105688,Consumer Credit,2286.09,12.64,Active,2024-09-22,False
6000018,106467,Overdraft Credit,12191.55,13.29,Active,2024-08-07,False
6000019,117751,Overdraft Credit,6303.85,8.94,Active,2022-06-13,False
6000020,121148,SMB Loan,10552.28,9.46,Active,2023-04-19,False
6000021,109601,SMB Loan,5322.94,13.97,Active,2022-08-11,False
6000022,121035,Personal Loan,9780.26,16.29,Active,2024-04-15,False
6000023,118767,SMB Loan,16952.79,6.15,Active,2023-07-22,False
6000024,127250,Personal Loan,4597.23,7.85,Active,2022-09-13,False
6000025,106451,Personal Loan,7634.94,14.94,Closed,2024-06-26,False
6000026,101119,SMB Loan,3503.87,11.95,Closed,2024-03-21,False
6000027,121828,Personal Loan,1899.1,15.8,Defaulted,2022-09-13,True
6000028,122839,Personal Loan,21485.91,16.49,Closed,2022-11-01,False
6000029,111790,Personal Loan,24743.28,13.62,Active,2023-06-12,False
6000030,115718,Consumer Credit,2975.54,10.79,Closed,2023-12-16,False
6000031,127071,Personal Loan,8257.67,14.43,Active,2023-08-29,False
6000032,105725,Personal Loan,2535.21,5.22,Closed,2023-04-28,False
6000033,122514,SMB Loan,2413.03,7.7,Active,2023-05-31,False
6000034,114234,SMB Loan,4398.74,11.6,Active,2023-07-12,False
6000035,126130,Consumer Credit,2653.6,14.3,Active,2023-09-15,False
6000036,123346,Overdraft Credit,25091.22,6.13,Defaulted,2024-07-28,True
6000037,114246,Overdraft Credit,7398.5,8.92,Active,2022-10-21,False
6000038,122492,Personal Loan,5362.93,6.39,Closed,2023-12-07,False
6000039,124053,Personal Loan,6737.91,11.44,Active,2023-03-27,False
6000040,120308,Consumer Credit,7487.8,9.51,Closed,2024-07-26,False
6000041,108612,Personal Loan,3479.9,13.4,Active,2022-07-21,False
6000042,126661,Overdraft Credit,5508.6,12.83,Active,2022-11-11,False
6000043,122127,Consumer Credit,7741.44,13.37,Active,2024-02-14,False
6000044,106914,Consumer Credit,4417.34,8.22,Active,2024-07-15,False
6000045,127882,Personal Loan,3959.03,5.26,Closed,2024-07-06,False
6000046,111242,Consumer Credit,6399.32,12.97,Closed,2022-08-22,False
6000047,116139,Personal Loan,10368.28,14.36,Defaulted,2024-02-15,True
