merchant_id,merchant_name,merchant_category,merchant_country,risk_level
5000,OnlineGaming_0,Online Gaming,Romania,High
5001,Groceries_1,Groceries,Romania,Low
5002,Electronics_2,Electronics,Malta,Medium
5003,Health_3,Health,France,Low
5004,ATM_4,ATM,Romania,Medium
5005,OnlineGaming 5,Online Gaming,Ireland,High
5006,CryptoServices_6,Crypto Services,Lithuania,High
5007,Restaurants_7,Restaurants,Italy,Low
5008,Insurance_8,Insurance,Lithuania,Low
5009,Groceries_9,Groceries,Netherlands,Low
5010,Insurance_10,Insurance,Sweden,Low
5011,Health_11,Health,Spain,Low
5012,Groceries_12,Groceries,Cyprus,Low
5013,CryptoServices_13,Crypto Services,Spain,High
5014,Travel_14,Travel,Malta,Medium
5015,Restaurants_15,Restaurants,France,Low
5016,Utilities_16,Utilities,Belgium,Low
5017,UTILITIES_17,Utilities,Cyprus,Low
5018,Education_18,Education,Italy,Low
5019,Electronics_19,Electronics,Lithuania,Medium
5020,FASHION_20,Fashion,Ireland,Low
5021,Groceries_21,Groceries,Belgium,Low
5022,OnlineGaming 22,Online Gaming,Netherlands,High
5023,Insurance_23,Insurance,Lithuania,Low
5024,Travel_24,Travel,Cyprus,Medium
5025,Electronics_25,Electronics,Portugal,Medium
5026,CRYPTOSERVICES_26,Crypto Services,Poland,High
5027,ATM_27,ATM,Germany,Medium
5028,Insurance_28,Insurance,Belgium,Low
5029,ATM_29,ATM,Belgium,Medium
5030,Education_30,Education,France,Low
5031,Fashion_31,Fashion,Malta,Low
5032,Groceries_32,Groceries,Portugal,Low
5033,RESTAURANTS 33,Restaurants,Portugal,Low
5034,Travel_34,Travel,Cyprus,Medium
5035,OnlineGaming_35,Online Gaming,Belgium,High
5036,Groceries_36,Groceries,Poland,Low
5037,Insurance_37,Insurance,Sweden,Low
5038,Insurance 38,Insurance,Germany,Low
5039,Restaurants_39,Restaurants,Romania,Low
5040,Travel 40,Travel,Portugal,Medium
5041,Education 41,Education,Lithuania,Low
5042,Groceries 42,Groceries,Malta,Low
5043,Health_43,Health,Netherlands,Low
5044,Groceries_44,Groceries,Belgium,Low
5045,Utilities_45,Utilities,Poland,Low
5046,Groceries_46,Groceries,Spain,Low
5047,Restaurants_47,Restaurants,Belgium,Low
5048,Fashion_48,Fashion,Italy,Low
5049,Electronics_49,Electronics,Malta,Medium
5050,OnlineGaming_50,Online Gaming,Cyprus,High
5051,ATM_51,ATM,Lithuania,Medium
5052,Restaurants_52,Restaurants,Lithuania,Low
5053,Restaurants_53,Restaurants,Romania,Low
5054,Restaurants_54,Restaurants,Romania,Low
5055,Restaurants_55,Restaurants,Netherlands,Low
5056,GROCERIES_56,Groceries,Netherlands,Low
5057,Groceries_57,Groceries,Malta,Low
5058,Electronics_58,Electronics,Spain,Medium
5059,ATM_59,ATM,Sweden,Medium
5060,Electronics_60,Electronics,Belgium,Medium
5061,Health_61,Health,Germany,Low
5062,Groceries 62,Groceries,Lithuania,Low
5063,ATM_63,ATM,Germany,Medium
5064,Travel_64,Travel,Portugal,Medium
5065,Restaurants_65,Restaurants,Portugal,Low
5066,Utilities_66,Utilities,France,Low
5067,ATM_67,ATM,Poland,Medium
5068,Travel_68,Travel,Netherlands,Medium
5069,Restaurants_69,Restaurants,Spain,Low
5070,GROCERIES_70,Groceries,Malta,Low
5071,ONLINEGAMING 71,Online Gaming,Lithuania,High
5072,Travel_72,Travel,Cyprus,Medium
5073,Utilities_73,Utilities,Italy,Low
5074,Travel 74,Travel,Portugal,Medium
5075,Travel_75,Travel,Germany,Medium
5076,Insurance_76,Insurance,Romania,Low
5077,Electronics_77,Electronics,Italy,Medium
5078,Restaurants_78,Restaurants,Netherlands,Low
5079,CRYPTOSERVICES_79,Crypto Services,Belgium,High
5080,UTILITIES_80,Utilities,France,Low
5081,Travel_81,Travel,France,Medium
5082,EDUCATION 82,Education,Italy,Low
5083,Fashion_83,Fashion,Italy,Low
5084,GROCERIES_84,Groceries,Romania,Low
5085,Travel_85,Travel,Portugal,Medium
5086,Groceries_86,Groceries,Ireland,Low
5087,TRAVEL_87,Travel,Poland,Medium
5088,Groceries_88,Groceries,Sweden,Low
5089,Utilities_89,Utilities,Portugal,Low
5090,Fashion_90,Fashion,Poland,Low
5091,Travel_91,Travel,Ireland,Medium
5092,Utilities_92,Utilities,Poland,Low
5093,UTILITIES_93,Utilities,Belgium,Low
5094,Groceries_94,Groceries,Italy,Low
5095,UTILITIES_95,Utilities,Poland,Low
5096,Education_96,Education,Netherlands,Low
5097,Utilities_97,Utilities,Netherlands,Low
5098,Fashion_98,Fashion,Lithuania,Low
5099,HEALTH_99,Health,Portugal,Low
5100,Restaurants_100,Restaurants,Netherlands,Low
5101,Electronics_101,Electronics,Malta,Medium
5102,ONLINEGAMING 102,Online Gaming,Ireland,High
5103,ELECTRONICS_103,Electronics,France,Medium
5104,Groceries_104,Groceries,Malta,Low
5105,Travel_105,Travel,Malta,Medium
5106,ELECTRONICS_106,Electronics,Germany,Medium
5107,Education_107,Education,Romania,Low
5108,Groceries_108,Groceries,Italy,Low
5109,Electronics 109,Electronics,Lithuania,Medium
5110,Travel_110,Travel,Cyprus,Medium
5111,Health_111,Health,Cyprus,Low
5112,Restaurants_112,Restaurants,Cyprus,Low
5113,Travel_113,Travel,Italy,Medium
5114,Restaurants_114,Restaurants,France,Low
5115,Groceries_115,Groceries,Spain,Low
5116,GROCERIES 116,Groceries,Malta,Low
5117,Restaurants_117,Restaurants,Spain,Low
5118,Health_118,Health,Romania,Low
5119,Health_119,Health,Italy,Low
5120,GROCERIES_120,Groceries,Belgium,Low
5121,Groceries 121,Groceries,Romania,Low
5122,ATM_122,ATM,Cyprus,Medium
5123,Fashion_123,Fashion,Ireland,Low
5124,Fashion_124,Fashion,Ireland,Low
5125,TRAVEL_125,Travel,Romania,Medium
5126,Education 126,Education,Cyprus,Low
5127,Utilities_127,Utilities,Portugal,Low
5128,GROCERIES_128,Groceries,Ireland,Low
5129,Restaurants_129,Restaurants,Germany,Low
5130,Electronics_130,Electronics,France,Medium
5131,Electronics_131,Electronics,Poland,Medium
5132,EDUCATION_132,Education,Portugal,Low
5133,ATM_133,ATM,Ireland,Medium
5134,Fashion_134,Fashion,Poland,Low
5135,Restaurants_135,Restaurants,Romania,Low
5136,Health_136,Health,Germany,Low
5137,Groceries_137,Groceries,Sweden,Low
5138,Utilities_138,Utilities,Spain,Low
5139,Groceries_139,Groceries,Poland,Low
5140,Utilities_140,Utilities,Portugal,Low
5141,GROCERIES_141,Groceries,Malta,Low
5142,GROCERIES 142,Groceries,Cyprus,Low
5143,OnlineGaming_143,Online Gaming,Netherlands,High
5144,CRYPTOSERVICES_144,Crypto Services,Netherlands,High
5145,Travel_145,Travel,Spain,Medium
5146,ATM 146,ATM,Malta,Medium
5147,Health_147,Health,Cyprus,Low
5148,Restaurants_148,Restaurants,Romania,Low
5149,ONLINEGAMING_149,Online Gaming,Romania,High
5150,GROCERIES_150,Groceries,Cyprus,Low
5151,Restaurants_151,Restaurants,Belgium,Low
5152,Groceries_152,Groceries,Cyprus,Low
5153,Electronics_153,Electronics,Germany,Medium
5154,Health_154,Health,Ireland,Low
5155,Fashion 155,Fashion,Germany,Low
5156,Restaurants 156,Restaurants,Sweden,Low
5157,Fashion 157,Fashion,Cyprus,Low
5158,Groceries_158,Groceries,Sweden,Low
5159,Groceries_159,Groceries,Cyprus,Low
5160,Restaurants_160,Restaurants,Malta,Low
5161,Fashion_161,Fashion,Cyprus,Low
5162,Utilities_162,Utilities,Belgium,Low
5163,HEALTH_163,Health,Germany,Low
5164,Fashion_164,Fashion,Germany,Low
5165,Groceries_165,Groceries,Malta,Low
5166,Fashion_166,Fashion,Cyprus,Low
5167,Utilities 167,Utilities,Sweden,Low
5168,Insurance_168,Insurance,Malta,Low
5169,Travel_169,Travel,France,Medium
5170,Travel_170,Travel,Poland,Medium
5171,HEALTH_171,Health,Belgium,Low
5172,Utilities_172,Utilities,Ireland,Low
5173,Fashion_173,Fashion,Ireland,Low
5174,Electronics_174,Electronics,Poland,Medium
5175,Utilities_175,Utilities,Cyprus,Low
5176,Groceries_176,Groceries,Malta,Low
5177,Groceries_177,Groceries,Lithuania,Low
5178,Education_178,Education,Belgium,Low
5179,Electronics_179,Electronics,Portugal,Medium
5180,OnlineGaming_180,Online Gaming,Cyprus,High
5181,RESTAURANTS_181,Restaurants,Lithuania,Low
5182,Travel_182,Travel,Poland,Medium
5183,Utilities_183,Utilities,Malta,Low
5184,Fashion_184,Fashion,Spain,Low
5185,Travel_185,Travel,Germany,Medium
5186,CryptoServices_186,Crypto Services,Poland,High
5187,Utilities_187,Utilities,Spain,Low
5188,EDUCATION_188,Education,Sweden,Low
5189,Travel 189,Travel,Romania,Medium
5190,Restaurants 190,Restaurants,Poland,Low
5191,Health_191,Health,Spain,Low
5192,Electronics_192,Electronics,Germany,Medium
5193,ONLINEGAMING_193,Online Gaming,Malta,High
5194,Groceries_194,Groceries,Spain,Low
5195,Groceries_195,Groceries,Italy,Low
5196,Travel_196,Travel,Portugal,Medium
5197,OnlineGaming_197,Online Gaming,Belgium,High
5198,HEALTH_198,Health,Germany,Low
5199,Restaurants_199,Restaurants,France,Low
5200,Electronics 200,Electronics,Netherlands,Medium
5201,Groceries_201,Groceries,Sweden,Low
5202,RESTAURANTS_202,Restaurants,Portugal,Low
5203,Electronics_203,Electronics,Sweden,Medium
5204,Fashion 204,Fashion,Sweden,Low
