interaction_id,customer_id,campaign_name,channel,interaction_date,clicked,converted
8000000,129533,Savings Goal,SMS,2024-12-30,False,False
8000001,123962,Savings Goal,In-App Banner,2023-10-24,False,False
8000002,129879,Premium Upgrade,Email,2023-04-26,False,False
8000003,100074,Loan Offer,Push Notification,2024-09-05,True,False
8000004,114587,Cashback Boost,Email,2024-03-25,True,False
8000005,106890,Savings Goal,SMS,2023-04-08,False,False
8000006,111056,Savings Goal,In-App Banner,2023-10-05,True,False
8000007,103180,Premium Upgrade,Email,2024-09-24,False,False
8000008,113798,Savings Goal,Email,2023-12-26,False,False
8000009,101235,Savings Goal,Email,2023-01-05,False,False
8000010,128685,Travel Card,Email,2023-07-04,False,False
8000011,111358,Savings Goal,In-App Banner,2023-09-28,False,False
8000012,114003,Loan Offer,Push Notification,2024-03-27,True,True
8000013,128612,Savings Goal,SMS,2023-01-07,False,True
8000014,101723,Savings Goal,Email,2024-12-15,False,False
8000015,121197,Cashback Boost,SMS,2024-12-16,False,False
8000016,103714,Travel Card,Email,2023-11-16,False,False
8000017,122788,Cashback Boost,Push Notification,2024-05-06,True,False
8000018,126385,Premium Upgrade,Email,2023-03-19,False,False
8000019,120199,Travel Card,In-App Banner,2024-10-11,True,False
8000020,121669,Cashback Boost,Email,2023-06-20,False,False
8000021,109669,Travel Card,SMS,2023-04-27,False,False
8000022,111908,Premium Upgrade,Push Notification,2023-06-19,False,False
8000023,110833,Cashback Boost,Email,2024-08-29,False,False
8000024,102447,Cashback Boost,Email,2023-12-31,False,False
8000025,106452,Savings Goal,Push Notification,2023-08-01,False,False
8000026,107304,Savings Goal,In-App Banner,2024-12-09,False,False
8000027,101319,Loan Offer,Push Notification,2024-01-26,False,False
8000028,103804,Travel Card,Email,2024-10-03,False,False
8000029,105109,Premium Upgrade,SMS,2023-01-29,False,False
8000030,105042,Cashback Boost,Email,2023-09-08,False,False
8000031,118436,Savings Goal,Email,2024-10-22,False,False
8000032,129290,Premium Upgrade,Push Notification,2024-12-06,False,False
8000033,106705,Premium Upgrade,SMS,2023-12-27,False,False
8000034,115645,Loan Offer,In-App Banner,2024-05-11,False,False
8000035,107956,Premium Upgrade,In-App Banner,2024-07-26,False,False
8000036,119085,Savings Goal,Push Notification,2023-08-02,False,False
8000037,125568,Premium Upgrade,In-App Banner,2023-09-02,False,False
8000038,112480,Loan Offer,Push Notification,2024-08-30,False,False
8000039,116708,Premium Upgrade,SMS,2024-11-18,False,False
8000040,120528,Premium Upgrade,Email,2023-08-25,False,False
8000041,128444,Cashback Boost,Push Notification,2023-07-16,False,False
8000042,105335,Dormant Reactivation,Email,2023-08-31,False,False
8000043,124024,Loan Offer,Email,2024-12-12,False,False
8000044,105558,Premium Upgrade,Email,2023-04-09,False,False
8000045,113638,Cashback Boost,Push Notification,2023-06-11,False,False
8000046,125669,Dormant Reactivation,Email,2024-01-20,True,False
8000047,126509,Savings Goal,Push Notification,2024-06-10,False,False
8000048,128971,Premium Upgrade,Push Notification,2023-05-31,False,False
8000049,106901,Premium Upgrade,Email,2024-04-26,False,False
8000050,119947,Premium Upgrade,SMS,2024-09-22,False,False
8000051,104914,Travel Card,Email,2024-01-02,False,False
8000052,120753,Dormant Reactivation,Email,2023-11-22,False,False
8000053,104178,Cashback Boost,Email,2023-01-21,False,False
8000054,124688,Savings Goal,Push Notification,2023-03-14,True,True
8000055,124973,Loan Offer,Email,2023-11-15,False,False
8000056,120905,Savings Goal,Email,2024-08-25,False,False
8000057,121835,Cashback Boost,Push Notification,2024-07-27,False,False
