ticket_id,customer_id,ticket_date,issue_type,priority,resolution_status,satisfaction_score
7000000,114961,2023-06-15,Account Access,Low,Resolved,4.0
7000001,111796,2023-12-22,Failed Payment,Medium,Unresolved,1.0
7000002,106054,2024-12-10,Chargeback,Critical,Resolved,5.0
7000003,102676,2024-04-01,Account Access,Low,Unresolved,1.0
7000004,125561,2023-04-18,KYC Delay,High,Unresolved,2.0
7000005,101607,2023-06-22,Chargeback,Critical,Escalated,3.0
7000006,127661,2024-09-18,KYC Delay,Low,Resolved,
7000007,124957,2023-08-25,Failed Payment,High,Resolved,4.0
7000008,117224,2024-12-28,Card Blocked,Low,Resolved,4.0
7000009,101311,2024-12-19,Failed Payment,High,Resolved,5.0
7000010,118819,2023-12-26,Card Blocked,Medium,Resolved,4.0
7000011,126320,2024-06-28,Failed Payment,High,Resolved,4.0
7000012,129994,2023-09-16,General,Low,Unresolved,2.0
7000013,115834,2024-11-01,Fraud Concern,High,Escalated,3.0
7000014,123211,2024-05-09,Failed Payment,High,Resolved,3.0
7000015,116725,2024-06-11,General,High,Resolved,4.0
7000016,128582,2024-02-16,General,Critical,Resolved,5.0
7000017,104489,2024-06-13,Failed Payment,High,Resolved,4.0
7000018,103147,2024-02-15,Failed Payment,Critical,Resolved,3.0
7000019,115880,2023-10-20,Failed Payment,Medium,Resolved,3.0
7000020,101019,2023-08-15,Account Access,Medium,Escalated,3.0
7000021,116359,2023-05-17,KYC Delay,Medium,Resolved,3.0
7000022,105530,2023-11-20,Failed Payment,High,Escalated,4.0
7000023,108078,2024-12-24,KYC Delay,Low,Resolved,5.0
7000024,116758,2023-09-21,Account Access,Low,Unresolved,2.0
7000025,115784,2024-07-25,KYC Delay,High,Resolved,3.0
7000026,119260,2023-04-26,Account Access,Medium,Resolved,4.0
7000027,121673,2024-10-10,Card Blocked,Low,Resolved,4.0
7000028,113514,2024-10-07,Account Access,Medium,Resolved,4.0
7000029,108605,2023-05-20,General,Low,Resolved,3.0
7000030,102956,2024-05-18,Loan Question,Low,Unresolved,3.0
7000031,125168,2023-04-12,Loan Question,High,Resolved,4.0
7000032,113340,2023-09-25,General,High,Resolved,3.0
7000033,115523,2024-11-14,Chargeback,High,Resolved,4.0
7000034,104562,2023-04-10,Loan Question,Low,Resolved,
7000035,102757,2024-12-28,Account Access,Medium,Resolved,4.0
7000036,119394,2023-11-07,General,Medium,Resolved,4.0
7000037,106423,2024-04-12,Card Blocked,Medium,Resolved,4.0
7000038,121822,2023-09-28,Account Access,Low,Unresolved,2.0
7000039,105167,2023-09-27,Account Access,Medium,Resolved,4.0
7000040,108753,2024-04-12,Account Access,Medium,Unresolved,3.0
7000041,106614,2024-01-24,General,Low,Resolved,5.0
7000042,128233,2023-12-23,Account Access,Medium,Resolved,
7000043,124094,2023-07-04,Chargeback,Medium,Resolved,5.0
7000044,113796,2023-06-07,General,Medium,Resolved,2.0
7000045,108671,2023-12-03,Card Blocked,High,Resolved,5.0
7000046,101341,2023-02-06,General,Low,Unresolved,1.0
7000047,117124,2023-04-01,Failed Payment,Critical,Resolved,4.0
7000048,103300,2023-12-06,Card Blocked,Medium,Resolved,4.0
7000049,115735,2024-06-18,Card Blocked,Medium,Resolved,
7000050,126694,2024-06-11,Account Access,High,Resolved,2.0
7000051,121034,2023-11-19,Chargeback,High,Resolved,4.0
7000052,128198,2024-03-24,Account Access,Medium,Resolved,4.0
7000053,118728,2023-08-20,General,High,Resolved,4.0
7000054,106579,2023-11-16,General,Low,Resolved,5.0
7000055,112771,2023-12-26,KYC Delay,High,Resolved,
7000056,103149,2024-04-29,Account Access,Critical,Resolved,4.0
7000057,121956,2024-04-04,KYC Delay,Low,Resolved,4.0
7000058,122372,2024-08-30,General,Medium,Resolved,5.0
7000059,120810,2023-11-11,Loan Question,Medium,Resolved,3.0
7000060,128749,2024-10-24,Account Access,High,Unresolved,
7000061,105061,2023-12-08,Card Blocked,Critical,Escalated,2.0
7000062,124111,2024-04-28,Loan Question,Medium,Unresolved,2.0
7000063,122181,2024-05-08,Fraud Concern,Critical,Resolved,4.0
7000064,127165,2023-09-09,Account Access,Medium,Resolved,2.0
7000065,119313,2024-08-09,KYC Delay,High,Resolved,4.0
7000066,102918,2023-02-27,Failed Payment,Medium,Resolved,5.0
7000067,119904,2024-04-23,Card Blocked,Low,Resolved,5.0
7000068,103912,2024-05-12,Account Access,Critical,Resolved,4.0
7000069,123719,2024-03-14,General,High,Resolved,5.0
7000070,900066,2023-07-15,Account Access,Medium,Resolved,5.0
7000071,104222,2023-05-16,Failed Payment,Critical,Escalated,3.0
7000072,112064,2023-12-19,Card Blocked,Medium,Resolved,
7000073,117867,2024-10-29,General,Medium,Resolved,5.0
7000074,126990,2023-10-19,General,High,Resolved,5.0
7000075,103769,2023-07-23,Failed Payment,High,Resolved,4.0
7000076,103147,2024-06-29,Chargeback,High,Resolved,4.0
7000077,106177,2023-07-29,Card Blocked,High,Unresolved,1.0
7000078,105058,2023-12-11,Failed Payment,High,Resolved,5.0
7000079,120447,2023-11-21,Account Access,Medium,Resolved,5.0
7000080,112258,2024-09-27,Card Blocked,Medium,Resolved,4.0
7000081,103652,2024-11-28,Fraud Concern,High,Escalated,3.0
7000082,122109,2024-06-08,Card Blocked,High,Resolved,4.0
7000083,113457,2024-03-11,Account Access,Low,Resolved,5.0
7000084,108460,2024-04-18,Failed Payment,High,Unresolved,2.0
7000085,111777,2023-02-23,Fraud Concern,Medium,Resolved,
7000086,105544,2023-03-05,Loan Question,Medium,Resolved,4.0
7000087,129573,2023-03-18,Card Blocked,Medium,Resolved,4.0
7000088,114428,2023-06-05,Account Access,Low,Unresolved,4.0
7000089,100893,2023-09-30,Account Access,Medium,Resolved,5.0
7000090,127876,2024-10-11,KYC Delay,Critical,Resolved,4.0
7000091,123989,2024-07-22,Card Blocked,Medium,Resolved,4.0
7000092,118723,2023-01-26,KYC Delay,Medium,Resolved,4.0
7000093,105948,2023-09-08,Fraud Concern,Medium,Resolved,
7000094,129863,2024-08-19,General,Medium,Resolved,5.0
7000095,122262,2023-06-04,Card Blocked,Critical,Resolved,4.0
7000096,109377,2024-03-02,Account Access,Low,Resolved,3.0
7000097,121608,2024-03-23,Fraud Concern,Medium,Escalated,3.0
7000098,114980,2024-12-24,General,Medium,Resolved,4.0
7000099,125589,2024-02-11,KYC Delay,Medium,Resolved,3.0
7000100,118366,2024-02-15,Loan Question,High,Resolved,4.0
7000101,123972,2024-07-31,Loan Question,Medium,Escalated,3.0
7000102,104997,2023-06-19,Account Access,Low,Resolved,4.0
7000103,108327,2024-08-02,Failed Payment,High,Resolved,4.0
7000104,111894,2024-08-31,Account Access,High,Resolved,3.0
